MEASURE USED:
value= max/count;
max=10000;
count= lru index;

hit rate = 5.893181422423444


max value is 40166.0
item	value	weight	take
273	36.0	22	false
274	36.0	32	false
275	36.0	10	false
276	36.0	29	false
277	36.0	16	false
278	35.0	1	true
279	35.0	39	false
280	35.0	8	false
281	35.0	25	false
282	35.0	15	false
283	35.0	23	false
284	35.0	4	false
285	35.0	43	false
286	34.0	15	false
287	34.0	47	false
288	34.0	20	false
289	34.0	39	false
290	34.0	39	false
291	34.0	44	false
292	34.0	27	false
293	34.0	4	false
294	34.0	11	false
295	33.0	34	false
296	33.0	31	false
297	33.0	37	false
298	33.0	34	false
299	33.0	43	false
300	33.0	31	false
301	33.0	5	false
302	33.0	35	false
303	33.0	18	false
304	32.0	47	false
305	32.0	37	false
306	32.0	7	false
307	32.0	10	false
308	32.0	29	false
309	32.0	2	true
310	32.0	9	false
311	32.0	24	false
312	32.0	11	false
313	31.0	2	true
314	31.0	49	false
315	31.0	27	false
316	31.0	49	false
317	31.0	34	false
318	31.0	48	false
319	31.0	22	false
320	31.0	14	false
321	31.0	37	false
322	31.0	39	false
323	30.0	48	false
324	30.0	22	false
325	30.0	36	false
326	30.0	35	false
327	30.0	9	false
328	30.0	24	false
329	30.0	3	false
330	30.0	9	false
331	30.0	35	false
332	30.0	26	false
333	30.0	49	false
334	29.0	27	false
335	29.0	36	false
336	29.0	44	false
337	29.0	14	false
338	29.0	28	false
339	29.0	25	false
340	29.0	48	false
341	29.0	7	false
342	29.0	43	false
343	29.0	36	false
344	29.0	44	false
345	28.0	41	false
346	28.0	25	false
347	28.0	47	false
348	28.0	4	false
349	28.0	48	false
350	28.0	14	false
351	28.0	37	false
352	28.0	12	false
353	28.0	8	false
354	28.0	3	false
355	28.0	22	false
356	28.0	3	false
357	28.0	6	false
358	27.0	47	false
359	27.0	3	false
360	27.0	12	false
361	27.0	40	false
362	27.0	42	false
363	27.0	17	false
364	27.0	42	false
365	27.0	45	false
366	27.0	8	false
367	27.0	42	false
368	27.0	35	false
369	27.0	23	false
370	27.0	30	false
371	26.0	31	false
372	26.0	26	false
373	26.0	23	false
374	26.0	35	false
375	26.0	32	false
376	26.0	24	false
377	26.0	28	false
378	26.0	48	false
379	26.0	43	false
380	26.0	15	false
381	26.0	44	false
382	26.0	47	false
