Train_size,LRU_hitrare,LRU_INV_hitrate,MAX_hitrate
15000,57.1134107814,55.6849175353,68.1584119008
30000,59.7353167989,58.7681783129,67.3424712058
45000,60.4102092092,60.9156446678,68.1534366527
60000,60.5302619468,59.8491007239,68.6012089853
75000,60.4998631807,59.8815890943,69.8723848852
90000,61.1325654867,60.3307047439,71.4196870569
93797,61.6021294062,61.8573098833,73.9272121197
