ks_weight_as_%of_cached_items_weight,ks_weight,lfulru,lfulru_inverse,max_hitrate
10.67,8000,49.0124132441,47.8163635911,73.9272121197
21.3,16000,61.6021294062,61.8573098833,73.9272121197
32,24000,65.8232294336,66.5448394239,73.9272121197
42.67,32000,68.3132913754,69.6555635712,73.9272121197
53.3,40000,70.0419910943,71.787407647,73.9272121197
64,48000,71.3442622951,72.7447946466,73.9272121197
74.67,56000,72.2121943332,73.2305281226,73.9272121197
85.3,64000,73.047538496,73.5543172716,73.9272121197
