MEASURE USED:
value=(max-count)*frequency;   per item in LRU list
max=10000;
count=index of item in lru list
frequency=number of occurences of the item

hit rate = 14.087415109828601


max value is 175519122
item	value	weight	take
327	9673	9	false
328	9672	24	false
329	19342	3	false
330	502840	9	false
331	502788	35	false
332	9668	26	false
333	9667	49	false
334	9666	27	false
335	9665	36	false
336	28992	44	false
337	28989	14	false
338	2898600	28	false
339	2898300	25	false
340	1091580	48	false
341	2917018	7	true
342	2916716	43	false
343	2018313	36	false
344	2018104	44	false
345	1091015	41	false
346	19308	25	false
347	1583092	47	false
348	2837688	4	true
349	2837394	48	false
350	1582600	14	false
351	1032443	37	false
352	1032336	12	false
353	1099758	8	true
354	1099644	3	true
355	1022370	22	false
356	1022264	3	true
357	1022158	6	true
358	183198	47	false
359	183179	3	false
360	1021840	12	false
361	963900	40	false
362	963800	42	false
363	115644	17	false
364	115632	42	false
365	48175	45	false
366	48170	8	false
367	38532	42	false
368	38528	35	false
369	19262	23	false
370	19260	30	false
371	914755	31	false
372	914660	26	false
373	991581	23	false
374	991478	35	false
375	904750	32	false
376	904656	24	false
377	1481942	28	false
378	96220	48	false
379	96210	43	false
380	1481480	15	false
381	1096566	44	false
382	1096452	47	false
383	1394465	49	false
384	1394320	23	false
385	1384560	50	false
386	1384416	10	true
387	38452	22	false
388	38448	28	false
389	76888	23	false
390	76880	9	false
391	67263	5	false
392	67256	3	false
393	86463	2	false
394	86454	27	false
395	86445	29	false
396	86436	42	false
397	230472	9	false
398	230448	16	false
399	163217	45	false
400	163200	45	false
401	259173	29	false
402	259146	11	false
403	86373	11	false
404	86364	14	false
405	86355	25	false
406	86346	5	false
407	86337	17	false
408	163064	32	false
409	163047	5	false
410	86310	35	false
411	163013	3	false
412	162996	32	false
413	124631	19	false
414	162962	32	false
415	162945	48	false
416	162928	41	false
417	162911	14	false
418	162894	48	false
419	162877	45	false
420	162860	50	false
421	162843	21	false
422	938644	49	false
423	143655	47	false
424	258552	5	false
425	162775	20	false
426	162758	9	false
427	172314	41	false
428	19144	47	false
429	19142	5	false
430	38280	34	false
431	105259	14	false
432	105248	46	false
433	162639	5	false
434	162622	22	false
435	172170	28	false
436	258228	26	false
437	258201	25	false
438	258174	23	false
439	258147	16	false
440	162520	18	false
441	162503	38	false
442	162486	30	false
443	162469	48	false
444	1137164	7	true
445	1137045	42	false
446	124202	49	false
447	840664	43	false
448	840576	8	false
449	124163	21	false
450	38200	22	false
451	38196	17	false
452	162316	16	false
453	162299	12	false
454	200466	41	false
455	200445	36	false
456	897136	22	false
457	897042	49	false
458	162214	5	false
459	162197	22	false
460	887220	22	false
461	887127	40	false
462	1173174	31	false
463	1173051	38	false
464	2050240	21	false
465	2050025	7	true
466	1077342	30	false
467	1077229	4	true
468	857880	47	false
469	857790	8	false
470	1048300	41	false
471	1048190	28	false
472	933744	34	false
473	933646	42	false
474	1057386	20	false
475	1057275	49	false
476	2104804	50	false
477	2104583	7	true
478	2856600	42	false
479	2856300	3	true
480	2808400	37	false
481	2808105	2	true
482	1142160	14	false
483	1142040	26	false
484	314028	50	false
485	313995	45	false
486	2873228	5	true
487	2872926	17	true
488	313896	21	false
489	313863	11	false
490	294810	26	false
491	294779	36	false
492	2757320	26	false
493	2757030	48	false
494	123578	21	false
495	123565	17	false
496	104544	9	false
497	104533	38	false
498	1083228	48	false
499	1083114	38	false
500	3011500	42	false
501	3011183	24	false
502	3010866	37	false
503	3010549	1	true
504	3029224	47	false
505	3028905	16	true
506	2990610	11	true
507	2990295	22	false
508	189840	45	false
509	189820	30	false
510	85410	15	false
511	85401	31	false
512	85392	41	false
513	85383	11	false
514	85374	5	false
515	85365	18	false
516	85356	32	false
517	85347	14	false
518	654258	5	false
519	654189	3	true
520	2739720	3	true
521	2739431	41	false
522	521290	33	false
523	521235	37	false
524	113712	30	false
525	113700	27	false
526	56844	46	false
527	56838	18	false
528	293632	24	false
529	293601	49	false
530	104170	25	false
531	1069997	38	false
532	1069884	14	false
533	2896902	29	false
534	2896596	43	false
535	104115	14	false
536	56784	22	false
537	56778	43	false
538	18924	26	false
539	18922	16	false
540	37840	22	false
541	37836	45	false
542	56748	34	false
543	56742	50	false
544	2742240	30	false
545	2741950	31	false
546	311982	33	false
547	311949	15	false
548	321368	45	false
549	321334	39	false
550	18900	7	false
551	18898	31	false
552	18896	10	false
553	18894	36	false
554	179474	31	false
555	179455	47	false
556	2870976	13	true
557	2870672	47	false
558	2898694	42	false
559	2898387	30	false
560	2898080	40	false
561	2897773	6	true
562	94380	22	false
563	94370	7	false
564	594468	4	true
565	594405	6	false
566	141510	31	false
567	141495	34	false
568	301824	4	false
569	301792	3	false
570	612950	33	false
571	612885	5	false
572	273412	28	false
573	273383	19	false
574	650394	9	false
575	113100	50	false
576	650256	9	false
577	113076	43	false
578	593586	37	false
579	141315	9	false
580	593460	40	false
581	141285	1	true
582	254286	46	false
583	254259	41	false
584	28248	28	false
585	28245	47	false
586	28242	39	false
587	291803	22	false
588	291772	13	false
589	28233	23	false
590	583420	9	false
591	28227	38	false
592	28224	46	false
593	583234	46	false
594	18812	32	false
595	18810	25	false
596	94040	15	false
597	94030	7	false
598	28206	28	false
599	28203	48	false
600	37600	5	false
601	37596	41	false
602	37592	43	false
603	37588	21	false
604	28188	26	false
605	28185	1	false
606	18788	28	false
607	18786	8	false
608	28176	43	false
609	9391	17	false
610	9390	11	false
611	478839	44	false
612	478788	13	false
613	28161	28	false
614	9386	4	false
615	9385	20	false
616	28152	17	false
617	28149	23	false
618	18764	14	false
619	18762	10	false
620	28140	11	false
621	440813	46	false
622	440766	17	false
623	28131	23	false
624	18752	39	false
625	18750	14	false
626	18748	37	false
627	18746	31	false
628	28116	45	false
629	28113	22	false
630	168660	41	false
631	18738	5	false
632	168624	33	false
633	1433151	10	true
634	1432998	34	false
635	18730	49	false
636	168552	11	false
637	168534	30	false
638	18724	41	false
639	140415	19	false
640	140400	22	false
641	18718	48	false
642	1216540	24	false
643	1216410	35	false
644	1234992	26	false
645	1234860	4	true
646	205788	38	false
647	205766	38	false
648	1430856	49	false
649	1047312	16	false
650	1047200	37	false
651	1430397	41	false
652	1448940	25	false
653	1448785	36	false
654	1457976	42	false
655	1457820	46	false
656	1420288	17	false
657	1420136	30	false
658	168156	13	false
659	168138	30	false
660	177460	24	false
661	177441	43	false
662	130732	24	false
663	168066	16	false
664	130704	45	false
665	168030	12	false
666	168012	42	false
667	167994	19	false
668	37328	28	false
669	37324	2	false
670	18660	12	false
671	18658	6	false
672	18656	48	false
673	18654	3	false
674	27978	28	false
675	27975	10	false
676	27972	27	false
677	27969	22	false
678	27966	30	false
679	27963	29	false
680	27960	24	false
681	27957	2	false
682	27954	22	false
683	27951	24	false
684	46580	23	false
685	46575	9	false
686	46570	49	false
687	46565	13	false
688	18624	6	false
689	27933	35	false
690	18620	27	false
691	27927	26	false
692	18616	48	false
693	18614	48	false
694	55836	38	false
695	55830	11	false
696	18608	28	false
697	18606	2	false
698	37208	36	false
699	37204	2	false
700	18600	14	false
701	18598	33	false
702	1236634	46	false
703	1236501	20	false
704	37184	16	false
705	37180	40	false
706	37176	24	false
707	18586	39	false
708	37168	39	false
709	18582	8	false
710	18580	25	false
711	83601	27	false
712	83592	35	false
713	18574	46	false
714	445728	6	false
715	445680	45	false
716	92840	6	false
717	92830	13	false
718	37128	11	false
719	37124	19	false
720	83520	13	false
721	83511	22	false
722	157726	25	false
723	157709	15	false
724	129864	3	false
725	129850	48	false
726	139110	49	false
727	139095	21	false
728	55632	11	false
729	55626	23	false
730	194670	14	false
731	194649	39	false
732	176092	15	false
733	176073	21	false
734	157522	47	false
735	157505	48	false
736	120432	25	false
737	120419	34	false
738	157454	49	false
739	157437	42	false
740	101860	7	false
741	101849	42	false
742	138870	45	false
743	138855	38	false
744	120328	23	false
745	120315	33	false
746	27762	41	false
747	27759	50	false
748	120276	21	false
749	120263	12	false
750	18500	28	false
751	18498	7	false
752	129472	45	false
753	129458	37	false
754	18492	15	false
755	18490	48	false
756	18488	15	false
757	18486	12	false
758	36968	43	false
759	36964	41	false
760	36960	6	false
761	36956	21	false
762	18476	10	false
763	18474	9	false
764	18472	36	false
765	18470	22	false
766	83106	48	false
767	83097	36	false
768	83088	25	false
769	83079	40	false
770	101530	44	false
771	101519	36	false
772	83052	15	false
773	83043	6	false
774	92260	3	false
775	92250	29	false
776	83016	12	false
777	83007	10	false
778	82998	12	false
779	82989	31	false
780	9220	24	false
781	9219	9	false
782	9218	15	false
783	9217	29	false
784	9216	45	false
785	9215	27	false
786	1658520	34	false
787	1658340	34	false
788	147392	16	false
789	147376	6	false
790	73680	10	false
791	73672	47	false
792	73664	13	false
793	73656	3	false
794	92060	43	false
795	92050	7	false
796	110448	37	false
797	110436	23	false
798	18404	21	false
799	18402	33	false
800	18400	47	false
801	91990	47	false
802	91980	50	false
803	193137	11	false
804	193116	49	false
805	18390	17	false
806	18388	27	false
807	73544	40	false
808	73536	2	false
809	193011	28	false
810	192990	37	false
811	211347	12	false
812	211324	21	false
813	863578	16	false
814	863484	42	false
815	211255	21	false
816	211232	11	false
817	18366	1	false
818	18364	18	false
819	18362	27	false
820	18360	43	false
821	238654	14	false
822	238628	3	false
823	211071	22	false
824	211048	35	false
